[00:00:00.000 --> 00:00:05.500]  Think about all of the thousands of businesses that exist, that say they want to do something.
[00:47:52.200 --> 00:47:58.960]  installed on the website no pop up no welcome flow nothing and so you know I
[00:47:58.960 --> 00:48:03.220]  thought that is a very common thing for e-commerce brands to do is like
[00:48:03.220 --> 00:48:06.320]  you know if you're not a venture backed brand if you're just launching a store
[00:48:06.320 --> 00:48:11.260]  a lot of people miss having some of their email set and I think it's it's not
[00:48:11.260 --> 00:48:15.660]  realistic sometimes to say I'm gonna have every possible email flow live when I
[00:48:15.660 --> 00:48:19.860]  launch the brand on day one but I think the three things you should have live is
[00:48:19.860 --> 00:48:23.240]  you should have a good order receipt like you should go into Shopify you should
[00:48:23.240 --> 00:48:27.000]  customize that template you know native has I think the best copy for the order
[00:48:27.000 --> 00:48:31.200]  receipt email you should have a good email pop up because that's just those are
[00:48:31.200 --> 00:48:35.340]  people coming to your site you know 10% of them are gonna give you their email if
[00:48:35.340 --> 00:48:39.340]  you're not capturing it you're you're missing out on free revenue and the third
[00:48:39.340 --> 00:48:44.380]  is a good welcome series so people put their email in basically what they're
[00:48:44.380 --> 00:48:49.060]  saying is hey here's my email address I want you to pitch me why I should buy
[00:48:49.060 --> 00:48:52.180]  your product the way you should think about your welcome flows you've now been
[00:48:52.180 --> 00:48:57.560]  invited to pitch your product on Shark Tank except through an email inbox so
[00:48:57.560 --> 00:49:00.860]  you know I put together five very easy emails that somebody could put
[00:49:00.860 --> 00:49:05.300]  together and I'm curious at the end if you think there's anything you'd add or
[00:49:05.300 --> 00:49:09.940]  modify or if you would add any emails to this so the first one I call it the
[00:49:09.940 --> 00:49:14.560]  introduce yourself to her email so this is you know you follow up to the
[00:49:14.560 --> 00:49:18.000]  angle that somebody came into your site from so maybe it's from a press article
[00:49:18.000 --> 00:49:22.860]  whatever the angle is that people buy your product you focus on that you explain
[00:49:22.860 --> 00:49:26.940]  who's the brand why do people love you or what are you known for what can
[00:49:26.940 --> 00:49:30.220]  somebody benefit from buying your products and then how would somebody you know
[00:49:30.220 --> 00:49:34.740]  the way you kind of want to frame it is like if I were to text you why you should
[00:49:34.740 --> 00:49:39.700]  buy Jolie that text is the type of text you want in your first email the
[00:49:39.700 --> 00:49:43.780]  second one I call it introduce yourself to her parents so it's much more
[00:49:43.780 --> 00:49:47.820]  formal you go deeper on what makes you worthy as a brand what makes your product
[00:49:47.820 --> 00:49:51.400]  special how you're gonna make somebody's life easier if you have any studies
[00:49:51.400 --> 00:49:56.020]  trials or claims that can back up your info and then any special ingredients to
[00:49:56.020 --> 00:49:59.580]  help you stand out the third one is you highlight a product so whatever the
[00:49:59.580 --> 00:50:03.180]  most hype product is when somebody searches your brand so somebody Google's
[00:50:03.180 --> 00:50:07.500]  native deodorant what is the number one skew that pops up that's the one
[00:50:07.500 --> 00:50:11.340]  that you highlight and you want to basically show the light at the end of
[00:50:11.340 --> 00:50:16.020]  the tunnel so this product is going to make you smell great but then also back
[00:50:16.020 --> 00:50:19.980]  it up with the how so a lot of people focus on the end but then they sort of
[00:50:19.980 --> 00:50:22.940]  lose people because they don't include what you know how are you gonna
[00:50:22.940 --> 00:50:26.340]  scientifically do this or how do I understand this in my head and so I think
[00:50:26.340 --> 00:50:30.540]  your 30-mail focuses on on product your fourth email is basically highlighting
[00:50:30.540 --> 00:50:34.780]  social proof so you focus on written reviews you bold the benefits you focus on
[00:50:34.780 --> 00:50:39.300]  UGC you know maybe some influencer posts and tiktoks whatever things that
[00:50:39.300 --> 00:50:42.420]  sort of emphasize like you're not alone in buying this product and many other
[00:50:42.420 --> 00:50:47.100]  people have benefited the last one is a killer offer so this is your last chance
[00:50:47.100 --> 00:50:51.220]  to convert somebody you give them a killer offer on your most well-known product
[00:50:51.220 --> 00:50:55.300]  you reinforce why the product is great what people say about it and how it's
[00:50:55.300 --> 00:51:00.500]  gonna benefit the customer and if you have distribution and retail then I think
[00:51:00.500 --> 00:51:05.060]  you can add a six email which basically says you know hey you were interested in
[00:51:05.060 --> 00:51:08.500]  this product here's all the other places you can go find us maybe you're you
[00:51:08.500 --> 00:51:12.460]  go to target you buy us there you go to Nordstrom you buy us there sometimes
[00:51:12.460 --> 00:51:15.420]  people just don't buy because they don't have the trust that you know you're
[00:51:15.420 --> 00:51:19.660]  not gonna leak their credit card number yeah yeah yeah I love that so why did
[00:51:19.660 --> 00:51:22.260]  that client choose not to work with you sorry that was the other follow-up
[00:51:22.260 --> 00:51:26.780]  essentially they probably realize or thought to say thought not realized
[00:51:26.780 --> 00:51:29.740]  now they realize they should have but they thought that oh we have a
[00:51:29.740 --> 00:51:32.900]  branding agency that we paid to build you know they said they're gonna build
[00:51:32.900 --> 00:51:36.540]  us a site they said they're gonna do this let's just work with a branding agency
[00:51:36.540 --> 00:51:40.100]  we don't need you guys to build a site and do x1 z yeah they don't understand
[00:51:40.100 --> 00:51:44.100]  that you're not a branding agency exactly okay I generally agree with all those
[00:51:44.100 --> 00:51:48.620]  things that you said in terms of the welcome series introduce you to the person
[00:51:48.620 --> 00:51:52.300]  introduce you to their family that's an interesting way to put it a product
[00:51:52.300 --> 00:51:55.780]  highlight I really like I would say that in that product highlight I'm shocked by
[00:51:55.780 --> 00:51:59.140]  the number of brands where I'm like you know I think a lot of brands go straight
[00:51:59.140 --> 00:52:02.740]  right there which is what is the hot product that you like especially new people
[00:52:02.740 --> 00:52:05.940]  whether like I'm creating an assortment of products and I'm like what do you want
[00:52:05.940 --> 00:52:08.940]  people to buy on this site what are you really good at like with native we're
[00:52:08.940 --> 00:52:13.500]  like by deodorant that's clearly the number one thing that we exist for now
[00:52:13.500 --> 00:52:16.660]  I think that there's other products but like you know when I go to Grove I'm
[00:52:16.660 --> 00:52:20.460]  like what should I be buying here yeah and like you sell everything like give me
[00:52:20.460 --> 00:52:24.020]  a you know this is like going to Amazon I'm like you know I there's I need
[00:52:24.020 --> 00:52:27.900]  to have intent and this should be discovery and here's the discovery here's
[00:52:27.900 --> 00:52:30.740]  the product that I should buy which I really like the one thing I would say is
[00:52:30.740 --> 00:52:37.180]  you know Ryan like last time you and I and Ryan spoke on a panel you also
[00:52:37.180 --> 00:52:41.900]  mentioned how old you were but at that time you Ryan was like we don't have a pop-up
[00:52:41.900 --> 00:52:45.620]  we don't take a welcome we don't need your email he's not we said we're not in
[00:52:45.620 --> 00:52:49.940]  the business of emailing people and I was like you know that was really interesting
[00:52:49.940 --> 00:52:53.580]  I mean look Ryan is doing something really right his business is on fire so
[00:52:53.580 --> 00:52:57.780]  you know Jeff Bezos one time that there's a story in like the everything store
[00:52:57.780 --> 00:53:01.100]  which is this book about Amazon and like somebody sends an email like a promo
[00:53:01.100 --> 00:53:04.900]  email through Amazon and he gets so upset he's like we're never gonna have to
[00:53:04.900 --> 00:53:09.900]  ever send a single promo email on Amazon we never send only emails we send our
[00:53:09.900 --> 00:53:12.500]  order confirmation and orders shipping and that's why you don't get an
[00:53:12.500 --> 00:53:17.180]  email from it like Amazon doesn't say to email saying 20% off nectar mattresses
[00:53:17.180 --> 00:53:22.140]  yeah 10% off jolly and think about how many emails they have yeah how was it
[00:53:22.140 --> 00:53:25.860]  humanly possible that the largest store in the world doesn't do that I also
[00:53:25.860 --> 00:53:29.820]  I think there may be some genius to this I think I'm not smart enough to realize
[00:53:29.820 --> 00:53:33.300]  this but it does make me think like you know when you were saying this I was like
[00:53:33.300 --> 00:53:37.420]  why is that guy not fuck he's not running Facebook ads and he's not creating an
[00:53:37.420 --> 00:53:41.820]  email pop up and he's getting people to our organically post what is he doing
[00:53:41.820 --> 00:53:46.580]  yeah like what you're hoping yeah is he living here like I'm living here in
[00:53:46.580 --> 00:53:50.780]  America on the streets and he's living in a utopia where you don't have to
[00:53:50.780 --> 00:53:54.060]  collect emails you don't have to run Facebook ads and people organically post
[00:53:54.060 --> 00:53:58.700]  about you this is paradise you you've gone to heaven already my friend yeah
[00:53:58.700 --> 00:54:02.900]  and I don't understand it okay we've got to wrap up in two minutes before we do
[00:54:02.900 --> 00:54:06.180]  tell me three things that you're excited about with three stories are gonna
[00:54:06.180 --> 00:54:08.620]  shop out on Black Friday what are you waiting for Black Friday discounts
[00:54:08.620 --> 00:54:12.500]  definitely gonna go check out Lulu okay see if there's anything new there
[00:54:12.500 --> 00:54:16.100]  I'm probably gonna check the Hoka store see if they've got any
[00:54:16.100 --> 00:54:20.500]  Hocus I've fallen in love with Hocus really yeah the most comfortable shoes are
[00:54:20.500 --> 00:54:25.100]  you wearing them now yeah wearing them now okay and then the third one I'm not
[00:54:25.100 --> 00:54:30.300]  sure honestly you know what I find on Black Friday is I feel like exactly what
[00:54:30.300 --> 00:54:35.020]  you mentioned how Grove they sort of don't put you in a path or like put you
[00:54:35.020 --> 00:54:38.420]  down a slide a lot of stores don't put you down a slide they kind of say hey
[00:54:38.420 --> 00:54:42.780]  come shop our whole site and I get overwhelmed and then I close the tab and I
[00:54:42.780 --> 00:54:46.660]  like last Black Friday I don't think I bought a single thing you know I've
[00:54:46.660 --> 00:54:49.860]  been like looking at furniture because I got to get some furniture from my
[00:54:49.860 --> 00:54:53.860]  apartment and I'll go to a website like all these like you know boutiquey
[00:54:53.860 --> 00:54:57.940]  stores itself furniture and I'm like there's a thousand four hundred
[00:54:57.940 --> 00:55:01.380]  skews on this website and there's no bestseller so I'm like what is your
[00:55:01.380 --> 00:55:04.460]  best set what is everyone buying from this store just tell me I'm not gonna look
[00:55:04.460 --> 00:55:07.820]  through four thousand skews on this thing there's no way to find a bestseller
[00:55:07.820 --> 00:55:11.820]  and I'm like how could you not understand this is a product everyone loves and
[00:55:11.820 --> 00:55:14.300]  you don't want to sell you don't want to show it to me what's wrong with you
[00:55:14.300 --> 00:55:17.940]  it's really funny because I think this might be something that's also specific
[00:55:17.940 --> 00:55:21.940]  to men which is like men go to a clothing brand or furniture brand and we're
[00:55:21.940 --> 00:55:26.780]  like wait a second but is this okay am I am I okay well I look stupid if I buy
[00:55:26.780 --> 00:55:30.180]  this yeah yeah I mean just tell me what your bestseller is I don't understand
[00:55:30.180 --> 00:55:35.100]  why it's so hard to do that and I find out bananas okay so Lula and Hoka and
[00:55:35.100 --> 00:55:38.940]  what was the other one of no not Grove I don't know what the third one's gonna be
[00:55:38.940 --> 00:55:43.660]  wow yeah what about you maybe maybe Rowan actually I think jolly I don't know
[00:55:43.660 --> 00:55:49.100]  no jolly and I want to see this counts for a lot of time to buy you a jolly I'm waiting
[00:55:49.100 --> 00:55:54.300]  on ten thousand although I like you know I have been turned off by the brand a
[00:55:54.300 --> 00:55:58.100]  little bit in the last 12 months why they did this loyalty thing where they're
[00:55:58.100 --> 00:56:02.100]  like more is you you accumulated all these loyalty rewards points use them
[00:56:02.100 --> 00:56:05.460]  and you have like fifty dollars so it's gonna use them and then they're like oh
[00:56:05.460 --> 00:56:10.180]  this shirt we charge you more if you're using the loyalty points basically and
[00:56:10.180 --> 00:56:13.900]  so I was like okay so loyalty points are worthless yeah and so as a result I
[00:56:13.900 --> 00:56:17.180]  haven't shop there and then there's this brand that I really like called a big
[00:56:17.180 --> 00:56:20.100]  favorite which I don't think anyone ever shops at I think I bought you a shirt
[00:56:20.100 --> 00:56:24.380]  yeah great shirt and I really like it because it's like organic clothing and
[00:56:24.380 --> 00:56:27.500]  now I'm like you know you're all about water and I'm a little bit worried about
[00:56:27.500 --> 00:56:31.820]  like you know what are all the dyes that are on my shirt coming from yeah a
[00:56:31.820 --> 00:56:35.540]  little bit nervous so I think that was three for me awesome okay that's a wrap
[00:56:35.540 --> 00:56:40.580]  for episode three really love that especially the Clavio 5 series that was my
[00:56:40.580 --> 00:56:43.540]  favorite part about this awesome I think on the next one we should touch on some
[00:56:43.540 --> 00:56:47.260]  of the earnings that have come out and then we'll see what else we dive into
[00:56:47.260 --> 00:56:51.380]  yeah love to awesome thanks for tuning in we'll be back next time to cut
[00:56:51.380 --> 00:56:55.180]  through the noise and CPG retail and e-commerce and if you enjoyed this
[00:56:55.180 --> 00:56:59.420]  episode then why not share it with a friend and be sure to subscribe wherever
[00:56:59.420 --> 00:57:03.060]  you listen so you don't miss the next one
